timestamp,exchange_with_lower_price,lower_price,lower_latency(ms),exchange_with_higher_price,higher_price,higher_latency(ms),max_price_diff(%),duration(ms),ticker
2025-04-30T11:25:37.905Z,binance,0.17538,3382,okx,0.1754,3052,0.011404,0,DOGEUSDT
2025-04-30T11:25:37.909Z,binance,3.233,3391,okx,3.234,2825,0.030931,0,TONUSDT
2025-04-30T11:25:38.107Z,okx,0.010786,3389,binance,0.010798,3585,0.111255,0,PENGUUSDT
2025-04-30T11:25:38.296Z,binance,2.526,3778,okx,2.527,2442,0.039588,0,NEARUSDT
2025-04-30T11:25:38.597Z,binance,0.17538,4079,okx,0.1754,4024,0.011404,0,DOGEUSDT
2025-04-30T11:25:39.347Z,okx,0.01079,3919,binance,0.010797,4824,0.064875,0,PENGUUSDT
2025-04-30T11:25:39.348Z,binance,2.526,4831,okx,2.527,3776,0.039588,0,NEARUSDT
2025-04-30T11:25:39.361Z,binance,0.6988,4845,okx,0.699,4839,0.028620,0,ADAUSDT
2025-04-30T11:25:39.639Z,gate,0.22914,5115,binance,0.2292,5076,0.026185,0,ALGOUSDT
2025-04-30T11:25:39.642Z,gate,0.010788,5119,okx,0.01079,5072,0.018539,0,PENGUUSDT
2025-04-30T11:25:39.643Z,okx,0.398,5073,gate,0.3981,5120,0.025126,0,WCTUSDT
2025-04-30T11:25:39.645Z,binance,0.17538,5127,okx,0.1754,5122,0.011404,0,DOGEUSDT
2025-04-30T11:25:40.044Z,okx,0.01079,5521,binance,0.010797,5395,0.064875,0,PENGUUSDT
2025-04-30T11:25:40.743Z,okx,2.527,5523,gate,2.531,6217,0.158290,0,NEARUSDT
2025-04-30T11:25:40.749Z,binance,2.526,6231,okx,2.527,6226,0.039588,0,NEARUSDT
2025-04-30T11:25:40.750Z,binance,0.6988,6233,okx,0.699,5073,0.028620,0,ADAUSDT
2025-04-30T11:25:40.751Z,gate,0.27827,6225,binance,0.2783,6233,0.010781,0,XLMUSDT
2025-04-30T11:25:40.751Z,gate,0.22911,6217,binance,0.2292,6233,0.039282,0,ALGOUSDT
2025-04-30T11:25:40.753Z,gate,0.010788,6225,okx,0.01079,6230,0.018539,0,PENGUUSDT
2025-04-30T11:25:40.753Z,binance,0.17537,6234,okx,0.1754,6231,0.017107,0,DOGEUSDT
2025-04-30T11:25:40.755Z,okx,0.3978,6232,binance,0.3981,6226,0.075415,0,WCTUSDT
2025-04-30T11:25:40.825Z,okx,0.3978,6234,gate,0.3981,6301,0.075415,0,WCTUSDT
2025-04-30T11:25:40.827Z,okx,3.233,5126,binance,3.234,6309,0.030931,0,TONUSDT
2025-04-30T11:25:40.944Z,okx,0.01079,6305,binance,0.010797,6422,0.064875,0,PENGUUSDT
2025-04-30T11:25:41.140Z,binance,2.526,6622,okx,2.527,6613,0.039588,0,NEARUSDT
2025-04-30T11:25:41.341Z,binance,0.6988,6824,okx,0.699,6818,0.028620,0,ADAUSDT
2025-04-30T11:25:41.601Z,binance,0.17537,7083,okx,0.1754,7010,0.017107,0,DOGEUSDT
